---,PlayMode,Level,Dungeon,Difficulty,PartInformation,PartOfLevel,TitleMessage,SubtitleMessage,NumberOfGarbage,NumberOfChests,NumberOfTraps,NumberOfSpiders,PathNumberMax,PathSpreadValues,TimeToGetHungry,bWaitForEndOfTime,PlayModeOfPart,Secret0Character,Secret0Color,Secret0SubColor,Secret0SloganIndex,Secret1Character,Secret1Color,Secret1SubColor,Secret1SloganIndex
11,"PM_CLASSIC","0","0","1","EPI_LEVEL3","EPI_LEVEL3","","","8","3","1","1","1","(1.000000)","250.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
12,"PM_CLASSIC","0","0","2","EPI_LEVEL1","EPI_LEVEL1","","","13","0","4","2","1","(1.000000)","175.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
13,"PM_CLASSIC","0","0","2","EPI_LEVEL2","EPI_LEVEL1","","","10","4","0","2","1","(1.000000)","175.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
14,"PM_CLASSIC","0","0","2","EPI_LEVEL2","EPI_LEVEL2","","","10","3","1","1","1","(1.000000)","225.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
15,"PM_CLASSIC","0","0","2","EPI_LEVEL3","EPI_LEVEL1","","","9","3","0","2","1","(1.000000)","175.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
16,"PM_CLASSIC","0","0","2","EPI_LEVEL3","EPI_LEVEL2","","","10","3","1","1","1","(1.000000)","225.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
17,"PM_CLASSIC","0","0","2","EPI_LEVEL3","EPI_LEVEL3","","","10","4","1","1","1","(1.000000)","200.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
18,"PM_CLASSIC","0","1","0","EPI_LEVEL1","EPI_LEVEL1","","","8","3","1","2","1","(1.000000)","250.000000","True","PM_CLASSIC","F","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
19,"PM_CLASSIC","0","1","0","EPI_LEVEL2","EPI_LEVEL1","","","7","3","1","2","1","(1.000000)","300.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","L","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
20,"PM_CLASSIC","0","1","0","EPI_LEVEL2","EPI_LEVEL2","","","8","2","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
21,"PM_CLASSIC","0","1","0","EPI_LEVEL3","EPI_LEVEL1","","","6","2","1","2","1","(1.000000)","300.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","G","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2"
22,"PM_CLASSIC","0","1","0","EPI_LEVEL3","EPI_LEVEL2","","","7","3","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
23,"PM_CLASSIC","0","1","0","EPI_LEVEL3","EPI_LEVEL3","","","8","2","1","1","1","(1.000000)","400.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","0"
24,"PM_CLASSIC","0","1","1","EPI_LEVEL1","EPI_LEVEL1","","","12","4","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","M","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2","O","(R=1.000000,G=0.791667,B=0.974728,A=1.000000)","(R=1.000000,G=0.000000,B=0.878697,A=1.000000)","3"
25,"PM_CLASSIC","0","1","1","EPI_LEVEL2","EPI_LEVEL1","","","12","4","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
26,"PM_CLASSIC","0","1","1","EPI_LEVEL2","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
27,"PM_CLASSIC","0","1","1","EPI_LEVEL3","EPI_LEVEL1","","","10","2","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","0"
28,"PM_CLASSIC","0","1","1","EPI_LEVEL3","EPI_LEVEL2","","","8","4","1","1","1","(1.000000)","355.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
29,"PM_CLASSIC","0","1","1","EPI_LEVEL3","EPI_LEVEL3","","","8","5","1","1","1","(1.000000)","345.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
30,"PM_CLASSIC","0","1","2","EPI_LEVEL1","EPI_LEVEL1","","","15","4","1","2","1","(1.000000)","330.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
31,"PM_CLASSIC","0","1","2","EPI_LEVEL2","EPI_LEVEL1","","","15","4","1","2","1","(1.000000)","330.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
32,"PM_CLASSIC","0","1","2","EPI_LEVEL2","EPI_LEVEL2","","","8","4","1","1","1","(1.000000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
33,"PM_CLASSIC","0","1","2","EPI_LEVEL3","EPI_LEVEL1","","","4","2","1","2","1","(1.000000)","330.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
34,"PM_CLASSIC","0","1","2","EPI_LEVEL3","EPI_LEVEL2","","","10","4","1","1","1","(1.000000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
35,"PM_CLASSIC","0","1","2","EPI_LEVEL3","EPI_LEVEL3","","","10","4","1","1","1","(1.000000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
36,"PM_CLASSIC","0","2","0","EPI_LEVEL1","EPI_LEVEL1","","","10","4","1","2","2","(0.500000,0.500000)","250.000000","True","PM_CLASSIC","H","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
37,"PM_CLASSIC","0","2","0","EPI_LEVEL2","EPI_LEVEL1","","","10","3","1","2","2","(0.500000,0.500000)","275.000000","True","PM_CLASSIC","E","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","P","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","2"
38,"PM_CLASSIC","0","2","0","EPI_LEVEL2","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","325.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
39,"PM_CLASSIC","0","2","0","EPI_LEVEL3","EPI_LEVEL1","","","8","3","1","2","2","(0.500000,0.500000)","350.000000","True","PM_CLASSIC","N","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","I","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","0"
40,"PM_CLASSIC","0","2","0","EPI_LEVEL3","EPI_LEVEL2","","","6","3","1","1","1","(1.000000)","425.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
41,"PM_CLASSIC","0","2","0","EPI_LEVEL3","EPI_LEVEL3","","","12","4","2","2","1","(1.000000)","475.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
42,"PM_CLASSIC","0","2","1","EPI_LEVEL1","EPI_LEVEL1","","","14","4","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
43,"PM_CLASSIC","0","2","1","EPI_LEVEL2","EPI_LEVEL1","","","12","4","0","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","E","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","1","E","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","1"
44,"PM_CLASSIC","0","2","1","EPI_LEVEL2","EPI_LEVEL2","","","12","5","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
45,"PM_CLASSIC","0","2","1","EPI_LEVEL3","EPI_LEVEL1","","","8","2","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
46,"PM_CLASSIC","0","2","1","EPI_LEVEL3","EPI_LEVEL2","","","12","4","0","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
47,"PM_CLASSIC","0","2","1","EPI_LEVEL3","EPI_LEVEL3","","","12","4","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
48,"PM_CLASSIC","0","2","2","EPI_LEVEL1","EPI_LEVEL1","","","15","5","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
49,"PM_CLASSIC","0","2","2","EPI_LEVEL2","EPI_LEVEL1","","","15","5","0","2","2","(0.500000,0.500000)","400.000000","True","PM_CLASSIC","R","(R=1.000000,G=0.018907,B=0.000000,A=1.000000)","(R=1.000000,G=0.500000,B=0.541059,A=1.000000)","3","R","(R=1.000000,G=0.018907,B=0.000000,A=1.000000)","(R=1.000000,G=0.500000,B=0.541059,A=1.000000)","3"
50,"PM_CLASSIC","0","2","2","EPI_LEVEL2","EPI_LEVEL2","","","15","5","1","1","1","(1.000000)","500.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
51,"PM_CLASSIC","0","2","2","EPI_LEVEL3","EPI_LEVEL1","","","15","5","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
52,"PM_CLASSIC","0","2","2","EPI_LEVEL3","EPI_LEVEL2","","","15","5","1","1","1","(1.000000)","400.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
53,"PM_CLASSIC","0","2","2","EPI_LEVEL3","EPI_LEVEL3","","","15","5","1","2","1","(1.000000)","500.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
54,"PM_CLASSIC","1","0","0","EPI_LEVEL1","EPI_LEVEL1","NSLOCTEXT(""B93479B64DD7D76D62CB35BF9BACA40D [242367234C72F7F10AA8C4A72B1656ED]"", ""9EBADDC5407ADA44EF1E948549033E8C"", ""Not a bad start!"")","NSLOCTEXT(""B93479B64DD7D76D62CB35BF9BACA40D [242367234C72F7F10AA8C4A72B1656ED]"", ""D1C2FCD24EB7F5B4127BA3992DA47732"", ""Clean the dungeon, and feed the creatures. If you succeed three nights, you will be allowed to enter the next dungeon."")","12","4","0","2","1","(1.000000)","250.000000","True","PM_CLASSIC","S","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","I","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
55,"PM_CLASSIC","1","0","0","EPI_LEVEL2","EPI_LEVEL1","NSLOCTEXT(""C07A30A540955798FE8846BA4C9BD030 [242367234C72F7F10AA8C4A72B1656ED]"", ""C8FC14574A90B08C9C82719C5CD46513"", ""Everything as usual"")","NSLOCTEXT(""C07A30A540955798FE8846BA4C9BD030 [242367234C72F7F10AA8C4A72B1656ED]"", ""387FEEB4418A15EFF610039F18E2B2EA"", ""The dungeon has expanded. More work, but also more chances to die."")","8","2","0","2","1","(1.000000)","300.000000","True","PM_CLASSIC","H","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","G","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
56,"PM_CLASSIC","1","0","0","EPI_LEVEL2","EPI_LEVEL2","","","8","2","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
57,"PM_CLASSIC","1","0","0","EPI_LEVEL3","EPI_LEVEL1","NSLOCTEXT(""E54BC5174DF9E9E99C7D049C6AA826C4 [242367234C72F7F10AA8C4A72B1656ED]"", ""F591E39B44471CE7C7C757AD785CD0E3"", ""Always bigger and bigger"")","NSLOCTEXT(""E54BC5174DF9E9E99C7D049C6AA826C4 [242367234C72F7F10AA8C4A72B1656ED]"", ""DE33D1AB4C1D531DEDB517A79DEC6B30"", ""Find the trash in the dungeon and burn it in the kitchen to finish your night shift."")","8","2","0","2","1","(1.000000)","250.000000","True","PM_CLASSIC","I","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","H","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
